,sepal length,sepal width,petal length,petal width
0,7.0,3.2,4.7,1.4
1,6.4,3.2,4.5,1.5
2,6.9,3.1,4.9,1.5
3,5.5,2.3,4.0,1.3
4,6.5,2.8,4.6,1.5
5,5.7,2.8,4.5,1.3
6,6.3,3.3,4.7,1.6
7,4.9,2.4,3.3,1.0
8,6.6,2.9,4.6,1.3
9,5.2,2.7,3.9,1.4
10,5.0,2.0,3.5,1.0
11,5.9,3.0,4.2,1.5
12,6.0,2.2,4.0,1.0
13,6.1,2.9,4.7,1.4
14,5.6,2.9,3.6,1.3
15,6.7,3.1,4.4,1.4
16,5.6,3.0,4.5,1.5
17,5.8,2.7,4.1,1.0
18,6.2,2.2,4.5,1.5
19,5.6,2.5,3.9,1.1
20,5.9,3.2,4.8,1.8
21,6.1,2.8,4.0,1.3
22,6.3,2.5,4.9,1.5
23,6.1,2.8,4.7,1.2
24,6.4,2.9,4.3,1.3
25,6.6,3.0,4.4,1.4
26,6.8,2.8,4.8,1.4
27,6.7,3.0,5.0,1.7
28,6.0,2.9,4.5,1.5
29,5.7,2.6,3.5,1.0
30,5.5,2.4,3.8,1.1
31,5.5,2.4,3.7,1.0
32,5.8,2.7,3.9,1.2
33,6.0,2.7,5.1,1.6
34,5.4,3.0,4.5,1.5
35,6.0,3.4,4.5,1.6
36,6.7,3.1,4.7,1.5
37,6.3,2.3,4.4,1.3
38,5.6,3.0,4.1,1.3
39,5.5,2.5,4.0,1.3
40,5.5,2.6,4.4,1.2
41,6.1,3.0,4.6,1.4
42,5.8,2.6,4.0,1.2
43,5.0,2.3,3.3,1.0
44,5.6,2.7,4.2,1.3
45,5.7,3.0,4.2,1.2
46,5.7,2.9,4.2,1.3
47,6.2,2.9,4.3,1.3
48,5.1,2.5,3.0,1.1
49,5.7,2.8,4.1,1.3
